type,layer,row,col,value
weight,1,0,0,0.849189
weight,1,0,1,-0.322209
weight,1,0,2,-0.463513
weight,1,0,3,0.00953051
weight,1,0,4,1.60952
weight,1,0,5,-0.455737
weight,1,0,6,0.136283
weight,1,0,7,0.256737
weight,1,0,8,1.39496
weight,1,0,9,0.418368
weight,1,0,10,0.946478
weight,1,0,11,0.282962
weight,1,1,0,0.187843
weight,1,1,1,-1.84217
weight,1,1,2,0.764345
weight,1,1,3,-0.0937535
weight,1,1,4,0.473453
weight,1,1,5,0.0544542
weight,1,1,6,-0.111344
weight,1,1,7,0.399121
weight,1,1,8,0.241441
weight,1,1,9,-0.414835
weight,1,1,10,0.224657
weight,1,1,11,1.08715
weight,1,2,0,-0.876409
weight,1,2,1,-0.257116
weight,1,2,2,-1.11268
weight,1,2,3,0.216033
weight,1,2,4,0.463347
weight,1,2,5,0.522382
weight,1,2,6,-0.923077
weight,1,2,7,0.346644
weight,1,2,8,0.173805
weight,1,2,9,-0.461788
weight,1,2,10,0.780423
weight,1,2,11,0.768598
weight,1,3,0,0.03261
weight,1,3,1,0.0680917
weight,1,3,2,-0.0811413
weight,1,3,3,-0.231322
weight,1,3,4,0.0635379
weight,1,3,5,0.0854167
weight,1,3,6,-0.34774
weight,1,3,7,0.0910981
weight,1,3,8,-0.171755
weight,1,3,9,-0.00753833
weight,1,3,10,-0.334732
weight,1,3,11,0.113967
weight,1,4,0,0.350695
weight,1,4,1,0.0136105
weight,1,4,2,-0.113625
weight,1,4,3,-0.0561207
weight,1,4,4,-1.97204
weight,1,4,5,0.07792
weight,1,4,6,-0.178789
weight,1,4,7,0.0976194
weight,1,4,8,-0.356085
weight,1,4,9,-0.351627
weight,1,4,10,1.00684
weight,1,4,11,0.404043
weight,1,5,0,-0.65335
weight,1,5,1,-0.162992
weight,1,5,2,-0.774153
weight,1,5,3,0.198091
weight,1,5,4,0.41628
weight,1,5,5,-0.0882533
weight,1,5,6,0.373932
weight,1,5,7,0.0624496
weight,1,5,8,0.307931
weight,1,5,9,-0.0383357
weight,1,5,10,0.497679
weight,1,5,11,-0.367569
weight,1,6,0,0.289294
weight,1,6,1,-0.363409
weight,1,6,2,0.857252
weight,1,6,3,0.0585609
weight,1,6,4,-0.225217
weight,1,6,5,0.267666
weight,1,6,6,0.472546
weight,1,6,7,0.272173
weight,1,6,8,0.788766
weight,1,6,9,-0.628254
weight,1,6,10,0.449224
weight,1,6,11,0.392686
weight,1,7,0,-0.169319
weight,1,7,1,-0.0938907
weight,1,7,2,0.277226
weight,1,7,3,-0.206418
weight,1,7,4,0.506666
weight,1,7,5,-0.229695
weight,1,7,6,0.0079618
weight,1,7,7,-0.108051
weight,1,7,8,0.154604
weight,1,7,9,0.736314
weight,1,7,10,-0.433073
weight,1,7,11,-0.9572
weight,1,8,0,-0.900394
weight,1,8,1,0.105414
weight,1,8,2,-0.763552
weight,1,8,3,-0.07569
weight,1,8,4,-0.216269
weight,1,8,5,0.464284
weight,1,8,6,1.04504
weight,1,8,7,0.12785
weight,1,8,8,0.582873
weight,1,8,9,-0.304276
weight,1,8,10,-0.150115
weight,1,8,11,0.412146
weight,1,9,0,1.34297
weight,1,9,1,0.558036
weight,1,9,2,0.73915
weight,1,9,3,-0.238281
weight,1,9,4,-0.00944535
weight,1,9,5,-0.0740618
weight,1,9,6,-0.247023
weight,1,9,7,0.145846
weight,1,9,8,-0.0852057
weight,1,9,9,-0.146323
weight,1,9,10,0.154967
weight,1,9,11,0.817442
weight,1,10,0,0.106862
weight,1,10,1,1.20814
weight,1,10,2,0.348262
weight,1,10,3,-0.0900733
weight,1,10,4,-0.648262
weight,1,10,5,0.0719755
weight,1,10,6,-0.311732
weight,1,10,7,-0.0852666
weight,1,10,8,0.0690967
weight,1,10,9,-0.224808
weight,1,10,10,-0.437406
weight,1,10,11,-0.0133608
weight,1,11,0,-3.62661
weight,1,11,1,-0.0978821
weight,1,11,2,-1.08679
weight,1,11,3,-0.229243
weight,1,11,4,0.338723
weight,1,11,5,0.150805
weight,1,11,6,0.253632
weight,1,11,7,-0.123
weight,1,11,8,-1.05862
weight,1,11,9,0.20554
weight,1,11,10,-0.85253
weight,1,11,11,-0.244549
weight,1,12,0,0.821258
weight,1,12,1,-0.174189
weight,1,12,2,0.135563
weight,1,12,3,0.136836
weight,1,12,4,0.509707
weight,1,12,5,0.268765
weight,1,12,6,0.794287
weight,1,12,7,-0.0946356
weight,1,12,8,0.917824
weight,1,12,9,0.149147
weight,1,12,10,0.210982
weight,1,12,11,1.0974
weight,1,13,0,-0.939352
weight,1,13,1,0.417784
weight,1,13,2,0.311777
weight,1,13,3,-0.205553
weight,1,13,4,-0.386336
weight,1,13,5,-0.283961
weight,1,13,6,-0.501991
weight,1,13,7,0.357286
weight,1,13,8,-0.40901
weight,1,13,9,-0.960942
weight,1,13,10,0.548396
weight,1,13,11,-0.0693615
weight,1,14,0,0.296639
weight,1,14,1,-0.192236
weight,1,14,2,-0.706327
weight,1,14,3,-0.0858001
weight,1,14,4,-0.763351
weight,1,14,5,-7.65459
weight,1,14,6,-3.96865
weight,1,14,7,0.141299
weight,1,14,8,-0.293803
weight,1,14,9,-0.144149
weight,1,14,10,-2.42523
weight,1,14,11,-0.111881
weight,1,15,0,0.180259
weight,1,15,1,-0.343666
weight,1,15,2,0.129975
weight,1,15,3,-0.209248
weight,1,15,4,0.399715
weight,1,15,5,0.254781
weight,1,15,6,-0.857518
weight,1,15,7,0.0279742
weight,1,15,8,0.0540886
weight,1,15,9,0.18788
weight,1,15,10,-0.775467
weight,1,15,11,0.482001
weight,1,16,0,0.739446
weight,1,16,1,0.900185
weight,1,16,2,0.87079
weight,1,16,3,-0.193982
weight,1,16,4,0.340918
weight,1,16,5,-0.511832
weight,1,16,6,0.819329
weight,1,16,7,0.188497
weight,1,16,8,-0.313063
weight,1,16,9,0.0774433
weight,1,16,10,-0.81015
weight,1,16,11,-0.116955
weight,1,17,0,-1.45502
weight,1,17,1,0.328974
weight,1,17,2,-0.723193
weight,1,17,3,-0.0437827
weight,1,17,4,0.648836
weight,1,17,5,0.245367
weight,1,17,6,0.31129
weight,1,17,7,-0.191318
weight,1,17,8,-0.926881
weight,1,17,9,0.495304
weight,1,17,10,-1.05593
weight,1,17,11,0.248612
weight,1,18,0,0.530543
weight,1,18,1,0.243244
weight,1,18,2,0.491627
weight,1,18,3,0.0534613
weight,1,18,4,-0.293954
weight,1,18,5,0.359391
weight,1,18,6,-0.0211363
weight,1,18,7,-5.99602
weight,1,18,8,1.28792
weight,1,18,9,-2.72127
weight,1,18,10,0.98515
weight,1,18,11,0.218234
weight,1,19,0,1.23843
weight,1,19,1,-5.01815
weight,1,19,2,-0.00253414
weight,1,19,3,-0.0422768
weight,1,19,4,2.93158
weight,1,19,5,-0.309098
weight,1,19,6,1.09312
weight,1,19,7,-5.20919
weight,1,19,8,1.84725
weight,1,19,9,2.17181
weight,1,19,10,-0.744914
weight,1,19,11,-0.208952
weight,1,20,0,0.207131
weight,1,20,1,-1.7937
weight,1,20,2,-0.173628
weight,1,20,3,0.00261028
weight,1,20,4,-1.31162
weight,1,20,5,1.30218
weight,1,20,6,-0.785332
weight,1,20,7,-0.0107013
weight,1,20,8,1.19307
weight,1,20,9,0.102138
weight,1,20,10,-1.52346
weight,1,20,11,-0.786591
weight,1,21,0,-0.43356
weight,1,21,1,0.01496
weight,1,21,2,-0.580211
weight,1,21,3,-0.168484
weight,1,21,4,-1.53016
weight,1,21,5,0.284344
weight,1,21,6,-0.366105
weight,1,21,7,0.0940656
weight,1,21,8,-1.54757
weight,1,21,9,-0.26188
